restaurant_id,restaurant_name,date,date_dt,year,month,day_of_week,is_weekend,is_holiday,holiday_name,covers,seasonality_factor,ingredient_id,ingredient_name,unit,unit_cost,inventory_start,qty_used,stockout_qty,inventory_end,on_order_qty,inventory_position,lead_time_days,avg_daily_usage_7d,avg_daily_usage_28d,avg_daily_usage_56d,projected_demand_leadtime,reorder_point,target_stock_level_S,restock_today_label,order_qty,num_menu_items_using,avg_qty_per_item,min_qty_per_item,max_qty_per_item,menu_items_list,units_sold_items_using_ing,revenue_items_using_ing,top_menu_item_by_ing_usage,top_menu_item_ing_qty_used,qty_in_grams,inventory_in_grams,inventory_start_grams,cost_per_gram,inventory_value,daily_cost,waste_cost,inventory_level
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I01,Beef Patty,patty,1.9,378.787,52.0,0.0,326.787,0.0,326.787,4,52.0,52.0,52.0,208.0,263.833,835.833,0,0.0,1,1.0,1.0,1.0,Classic Burger,52,727.48,Classic Burger,52.0,7800.0,49018.049999999996,56818.049999999996,0.012666666666666666,620.8952999999999,98.8,0.0,49018.049999999996
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I03,Brioche Bun,bun,0.45,697.351,103.0,0.0,594.351,0.0,594.351,3,103.0,103.0,103.0,309.0,376.806,1612.806,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,103,1364.47,Classic Burger,52.0,5150.0,29717.55,34867.55,0.009000000000000001,267.45795000000004,46.35000000000001,0.0,29717.55
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I08,Pickles,g,0.006,12049.297,1545.0,0.0,10504.297,0.0,10504.297,2,1545.0,1545.0,1545.0,3090.0,4266.452,27441.452,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,103,1364.47,Classic Burger,780.0,1545.0,10504.297,12049.297,0.006,63.02578200000001,9.27,0.0,10504.297
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I09,House Sauce,g,0.008,15672.122,1805.0,0.0,13867.122,0.0,13867.122,4,1805.0,1805.0,1805.0,7220.0,9065.84,25310.84,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,103,1364.47,Classic Burger,1040.0,1805.0,13867.122,15672.122,0.008,110.936976,14.44,0.0,13867.122
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I15,Pizza Dough,dough,0.85,399.168,57.0,0.0,342.168,0.0,342.168,5,57.0,57.0,57.0,285.0,332.97,1016.97,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,57,911.43,Margherita Pizza,57.0,17100.0,102650.40000000001,119750.40000000001,0.002833333333333333,290.8428,48.449999999999996,0.0,102650.40000000001
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I17,Mozzarella,g,0.013,44755.604,6270.0,0.0,38485.604,0.0,38485.604,3,6270.0,6270.0,6270.0,18810.0,22761.375,72921.375,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,57,911.43,Margherita Pizza,6270.0,6270.0,38485.604,44755.604,0.013,500.31285199999996,81.50999999999999,0.0,38485.604
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I20,White Fish,g,0.02,32067.105,4080.0,0.0,27987.105,0.0,27987.105,6,4080.0,4080.0,4080.0,24480.0,29277.632,65997.632,1,34231.262,1,120.0,120.0,120.0,Fish Tacos (3),34,492.66,Fish Tacos (3),4080.0,4080.0,27987.105,32067.105,0.02,559.7421,81.60000000000001,0.0,27987.105
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I22,Cabbage,g,0.004,21529.705,2635.0,0.0,18894.705,0.0,18894.705,3,2635.0,2635.0,2635.0,7905.0,10189.874,33904.874,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),85,1129.65,Fish Tacos (3),1360.0,2635.0,18894.705,21529.705,0.004,75.57882000000001,10.540000000000001,0.0,18894.705
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I25,Potatoes,g,0.002,117170.002,11560.0,0.0,105610.002,0.0,105610.002,1,11560.0,11560.0,11560.0,11560.0,16930.119,155650.119,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,62,709.38,French Fries,7560.0,11560.0,105610.002,117170.002,0.002,211.220004,23.12,0.0,105610.002
R001,Sample Bistro,2023-01-01,2023-01-01,2023,1,6,1,1,New Year's Day,367,0.8156057356348537,I44,Sirloin Steak,g,0.022,50002.284,4800.0,0.0,45202.284,0.0,45202.284,4,4800.0,4800.0,4800.0,19200.0,22717.277,65917.277,0,0.0,1,240.0,240.0,240.0,Steak Frites,20,499.8,Steak Frites,4800.0,4800.0,45202.284,50002.284,0.022,994.450248,105.6,0.0,45202.284
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I01,Beef Patty,patty,1.9,326.787,23.0,0.0,303.787,0.0,303.787,4,37.5,37.5,37.5,150.0,190.264,602.764,0,0.0,1,1.0,1.0,1.0,Classic Burger,23,321.77,Classic Burger,23.0,3450.0,45568.049999999996,49018.049999999996,0.012666666666666666,577.1953,43.699999999999996,0.0,45568.049999999996
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I03,Brioche Bun,bun,0.45,594.351,43.0,0.0,551.351,0.0,551.351,3,73.0,73.0,73.0,219.0,267.056,1143.056,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,43,571.57,Classic Burger,23.0,2150.0,27567.55,29717.55,0.009000000000000001,248.10795000000002,19.35,0.0,27567.55
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I08,Pickles,g,0.006,10504.297,645.0,0.0,9859.297,0.0,9859.297,2,1095.0,1095.0,1095.0,2190.0,3023.796,19448.796,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,43,571.57,Classic Burger,345.0,645.0,9859.297,10504.297,0.006,59.155782,3.87,0.0,9859.297
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I09,House Sauce,g,0.008,13867.122,760.0,0.0,13107.122,0.0,13107.122,4,1282.5,1282.5,1282.5,5130.0,6441.518,17984.018,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,43,571.57,Classic Burger,460.0,760.0,13107.122,13867.122,0.008,104.856976,6.08,0.0,13107.122
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I15,Pizza Dough,dough,0.85,342.168,18.0,0.0,324.168,0.0,324.168,5,37.5,37.5,37.5,187.5,219.059,669.059,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,18,287.82,Margherita Pizza,18.0,5400.0,97250.40000000001,102650.40000000001,0.002833333333333333,275.5428,15.299999999999999,0.0,97250.40000000001
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I17,Mozzarella,g,0.013,38485.604,1980.0,0.0,36505.604,0.0,36505.604,3,4125.0,4125.0,4125.0,12375.0,14974.589,47974.589,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,18,287.82,Margherita Pizza,1980.0,1980.0,36505.604,38485.604,0.013,474.57285199999995,25.74,0.0,36505.604
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I20,White Fish,g,0.02,27987.105,2160.0,0.0,25827.105,34231.262,60058.366,6,3120.0,3120.0,3120.0,18720.0,22388.777,50468.777,0,0.0,1,120.0,120.0,120.0,Fish Tacos (3),18,260.82,Fish Tacos (3),2160.0,2160.0,25827.105,27987.105,0.02,516.5421,43.2,0.0,25827.105
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I22,Cabbage,g,0.004,18894.705,1220.0,0.0,17674.705,0.0,17674.705,3,1927.5,1927.5,1927.5,5782.5,7453.883,24801.383,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),38,510.62,Fish Tacos (3),720.0,1220.0,17674.705,18894.705,0.004,70.69882000000001,4.88,0.0,17674.705
